row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay,12_40Hz_log10_peak_psd,12_40Hz_peak_frequency_hz,delta_2_4Hz_log10_integrated_power,theta_4_8Hz_log10_integrated_power,alpha_8_13Hz_log10_integrated_power,beta_13_30Hz_log10_integrated_power,low_gamma_30_55Hz_log10_integrated_power
83,68,420,3,0,short,5.121126160313985,20.5,4.297121674471627,4.303407452409557,4.9499299087445365,6.080311201769695,5.129751587704861
84,82,510,3,3,short,5.031717746975746,21.700000000000003,4.654593434494585,4.524866401470425,4.589192478394945,5.907883301770919,5.083924231149465
85,92,196,3,2,short,4.321321502122799,23.6,4.3022092613350305,4.6374716569731405,4.396087182661679,5.437050073212344,5.353620605169161
86,77,14,3,0,short,4.74275724886429,26.1,4.3552769064060755,4.107873862774358,4.890139483511303,5.699987864599573,5.21406865969372
87,79,48,3,2,short,5.1363229856508354,21.1,4.9314090244357836,5.134756751769964,4.2912222996562095,5.847899288883061,4.926626031336731
88,69,612,3,1,short,4.823914469841044,19.400000000000002,4.927862733951684,4.930981364558645,4.276763342897444,5.641651992790361,5.193949340081653
89,94,406,3,0,short,5.313807404491643,20.700000000000003,3.9344886687115914,4.32949969850801,4.847612666866338,6.210769537156583,5.47422739455424
90,76,540,3,2,short,4.887636372387542,19.3,4.576143050406333,4.177143225673803,4.064861795187905,5.639439894070378,5.260862598572216
91,85,128,3,1,short,5.022793575765574,28.900000000000002,4.78339046125723,4.344246552134402,4.904799537625364,5.7901553199256135,5.5002567155052615
92,75,51,3,3,short,5.042208364960698,19.200000000000003,4.5795662328844395,4.4588807447415775,4.62947504009459,5.928726860340042,5.421013914190178
93,89,615,3,3,short,4.8960605141372175,22.900000000000002,4.580312350107368,4.8022678873073765,4.40016418746086,5.733679694754957,5.314759100725498
94,72,307,3,2,short,4.787186842352246,19.900000000000002,4.156527983358945,4.6455499923456225,4.260105853755537,5.849595086552736,5.26241780965704
95,73,216,3,1,short,5.132574627416604,21.5,5.131191138003952,4.217340963622586,3.953733895679103,5.967178837220088,5.502641166282796
96,99,609,3,4,short,5.1112131870949735,20.8,5.003149358325612,4.614388798129955,4.466230321669522,5.999270821975313,5.442759637989492
97,91,416,3,3,short,4.9161995411832144,20.0,4.4155241396388805,4.437912280337741,4.9917943344449425,5.89818097362523,5.626659306828307
98,93,46,3,3,short,5.033862396217838,23.200000000000003,4.639370774823035,4.461794971804155,4.373606699847523,5.8520014178866715,5.273175961911362
99,126,121,4,3,short,4.491907530494954,22.400000000000002,4.655167708553127,4.796276678844235,4.498154279782619,5.402085463071716,5.288712116717156
100,106,333,4,3,short,5.009686203652334,24.400000000000002,4.92515999089226,4.896794038802462,4.436886926519686,5.8810193902894685,5.529933161001218
